timestamp,operation,controller,details,username,status
Tue May 21 00:40:54 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient3,OK
Tue May 21 00:40:54 EEST 2019,READ,controller.PatientController,Patient reads his data,patient3,OK
Tue May 21 00:40:54 EEST 2019,READ,controller.PatientController,Patient reads his data,patient3,OK
Tue May 21 00:40:54 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:40:54 EEST 2019,READ,controller.MedicController,User reads medic with id=3,,OK
Tue May 21 00:40:54 EEST 2019,READ,controller.CaseController,Read case with id=3,patient3,OK
Tue May 21 00:44:10 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 00:44:10 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 00:58:33 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 00:58:33 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 00:59:14 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 00:59:14 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 00:59:43 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 00:59:43 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:02:46 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:02:46 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:06:55 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:06:55 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:10:03 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,UNAUTHORIZED
Tue May 21 01:10:07 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:10:07 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:10:07 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:10:14 EEST 2019,UPDATE,controller.MedicController,Medic adds specialization myspec1,medic1,OK
